unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives

1,Requerimientos,1,Introducción,yes,Actividad de la Lección 1.1,/assets/html/lesson-1.1.html,GAY5ICoVnA8,*
1,Requerimientos,2,Las partes un curso,,Actividad de la Lección 1.2,/assets/html/lesson-1.2.html,,*
1,Requerimientos,3,El flujo de seguimiento,yes,Actividad de la Lección 1.3,/assets/html/lesson-1.3.html,,*
1,Requerimientos,4,Cursos existentes,,Actividad de la Lección 1.4,/assets/html/lesson-1.4.html,,*

2,Proceso de diseño,1,Introducción,,Actividad de la Lección 2.1,/assets/html/lesson-2.1.html,,*
2,Proceso de diseño,2,Diseñar un plan para el curso,yes,Actividad de la Lección 2.2,/assets/html/lesson-2.2.html,,*
2,Proceso de diseño,3,Desarrollar el contenido sin tecnología,yes,Actividad de la Lección 2.3,/assets/html/lesson-2.3.html,,*
2,Proceso de diseño,4,Diseñar desde los objetivos,,Actividad de la Lección 2.4,/assets/html/lesson-2.4.html,,*
2,Proceso de diseño,5,Implementar el curso con tecnología,yes,Actividad de la Lección 2.5,/assets/html/lesson-2.5.html,,*
2,Proceso de diseño,6,Pruebas con un público objetivo,,Actividad de la Lección 2.6,/assets/html/lesson-2.6.html,,*
2,Proceso de diseño,7,Grabar video para e-learning,,,http://www.wedubox.com,do_p2sfncO4,

3,Arrancar la aplicación,1,Descargar el software,,Actividad de la Lección 3.1,/assets/html/lesson-3.1.html,,*
3,Arrancar la aplicación,2,Arrancar la aplicación,,Actividad de la Lección 3.2,/assets/html/lesson-3.2.html,,*
3,Arrancar la aplicación,3,Explorar el ejemplo de la aplicación,yes,Actividad de la Lección 3.3,/assets/html/lesson-3.3.html,,*
3,Arrancar la aplicación,4,Explorar el código fuente,,Actividad de la Lección 3.4,/assets/html/lesson-3.4.html,,*

4,Crear el material del curso,1,Los roles de U-MOOC,,Actividad de la Lección 4.1,/assets/html/lesson-4.1.html,,*
4,Crear el material del curso,2,Especificaciones generales,,Actividad de la Lección 4.2,/assets/html/lesson-4.2.html,,*
4,Crear el material del curso,3,Modificar la estructura del curso,,Actividad de la Lección 4.3,/assets/html/lesson-4.3.html,,*
